age,businesstravel,dailyrate,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,tenurecategory,performancescore,workloadindicator,department_Human Resources,department_Research & Development,department_Sales,jobrole_Healthcare Representative,jobrole_Human Resources,jobrole_Laboratory Technician,jobrole_Manager,jobrole_Manufacturing Director,jobrole_Research Director,jobrole_Research Scientist,jobrole_Sales Executive,jobrole_Sales Representative,Target
41,2,1102,1,2,1,1,2,0,94,3,2,4,2,8.698347400458186,19479,8,1,11,3,1,0,8,0,1,1.791759469228055,1.3862943611198906,-13.815510557964274,1.6094379124341003,1,3.4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
49,1,279,8,1,1,2,3,1,61,2,2,2,1,8.542860938164814,24907,1,0,23,4,4,1,10,3,3,2.302585092994046,1.9459101490553132,0.0,1.9459101490553132,0,2.6,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
37,2,1373,2,2,4,4,4,1,92,2,1,3,2,7.644919344958857,2396,6,1,15,3,2,0,7,3,3,-2.3025850929940455,-2.3025850929940455,-13.815510557964274,-2.3025850929940455,2,2.7,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
33,1,1392,3,4,1,5,4,0,56,3,1,3,1,7.975564658495202,23159,1,1,11,3,3,0,8,3,3,2.0794415416798357,1.9459101490553132,1.0986122886681098,-2.3025850929940455,0,3.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
27,2,591,2,1,3,7,1,1,40,3,1,2,1,8.151333337900432,16632,9,0,12,3,4,1,6,3,3,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,2,2.5999999999999996,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
32,1,1005,2,2,1,8,4,1,79,3,1,4,2,8.028781162487148,11864,0,0,13,3,3,0,8,2,2,1.9459101490553132,1.9459101490553132,1.0986122886681098,1.791759469228055,1,3.4,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
59,2,1324,3,3,3,10,3,0,81,4,1,1,1,7.8898337513942955,9964,4,1,20,4,1,3,12,3,2,0.0,-2.3025850929940455,-13.815510557964274,-2.3025850929940455,2,2.8,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30,2,1358,24,1,1,11,4,1,67,3,1,3,0,7.898411092811599,13335,1,0,22,4,2,1,1,2,3,0.0,-2.3025850929940455,-13.815510557964274,-2.3025850929940455,2,3.3000000000000003,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
38,1,216,23,3,1,12,4,1,44,2,3,3,2,9.161780181360806,8787,0,0,21,4,2,0,10,2,3,2.1972245773362196,1.9459101490553132,0.0,2.0794415416798357,0,3.0000000000000004,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
36,2,1299,27,3,3,13,3,1,94,3,2,3,1,8.563504094279487,16577,6,0,13,3,2,2,17,3,2,1.9459101490553132,1.9459101490553132,1.9459101490553132,1.9459101490553132,1,3.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
35,2,809,16,3,3,14,1,1,84,4,1,2,1,7.793999089503996,16479,0,0,13,3,3,1,6,5,3,1.6094379124341003,1.3862943611198906,-13.815510557964274,1.0986122886681098,1,2.9,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
